"test","rps","avg_latency_ms","min_latency_ms","p50_latency_ms","p95_latency_ms","p99_latency_ms","max_latency_ms"
"PING_INLINE","85324.23","0.313","0.104","0.303","0.383","0.511","7.263"
"PING_MBULK","82034.45","0.327","0.112","0.311","0.415","0.615","6.959"
"SET","84817.64","0.319","0.104","0.303","0.399","0.607","3.687"
"GET","88652.48","0.304","0.096","0.295","0.359","0.415","2.199"
"INCR","87183.96","0.314","0.120","0.303","0.391","0.567","9.719"
"LPUSH","88967.98","0.320","0.120","0.303","0.391","0.655","9.167"
"RPUSH","87565.68","0.318","0.120","0.303","0.399","0.607","4.343"
"LPOP","85470.09","0.315","0.104","0.303","0.383","0.511","7.119"
"RPOP","82781.46","0.326","0.112","0.311","0.399","0.567","4.023"
"SADD","85836.91","0.314","0.104","0.303","0.375","0.495","4.143"
"HSET","86956.52","0.317","0.104","0.303","0.383","0.567","3.119"
"SPOP","86058.52","0.316","0.104","0.303","0.375","0.519","13.519"
"ZADD","88028.16","0.310","0.120","0.303","0.367","0.463","3.071"
"ZPOPMIN","87719.30","0.305","0.104","0.295","0.359","0.455","4.023"
"LPUSH (needed to benchmark LRANGE)","86580.09","0.319","0.112","0.303","0.391","0.711","3.831"
"LRANGE_100 (first 100 elements)","17473.35","1.429","0.512","1.439","1.735","1.935","3.007"
"LRANGE_300 (first 300 elements)","9455.37","2.624","0.536","2.599","3.183","3.711","8.479"
"LRANGE_500 (first 500 elements)","7036.31","3.518","0.504","3.503","4.095","4.527","8.279"
"LRANGE_600 (first 600 elements)","5732.63","4.310","0.872","4.247","5.199","6.047","11.143"
"MSET (10 keys)","78308.54","0.391","0.176","0.351","0.639","1.127","9.199"
"XADD","83402.84","0.323","0.104","0.311","0.399","0.559","3.583"
